OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,D,E,F,G,H,I,J,K,L,D
34,25,16,7,41,32,23,14,5,39,30,21,12,3,37,28,19,10,1,35,26,17,8,42,33,24,15,6,40,31,22,13,4,38,29,20,11,2,36,27,18,9,0,34,25,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,29,23,17,11,5,40,34,28,22,16,10,4,39,33,27,21,15,9,3,38,32,26,20,14,8,2,37,31,25,19,13,7,1,36,30,24,18,12,6,0,35,29,23,17,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33,30,27,24,21,18,15,12,9,6,3,0,36,33,30,27,24,21,18,15,12,9,6,3,0,36,33,30,27,24,21,18,15,12,9,6,3,0,36,33,30,27,24,21,18,15,12,9,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3,41,6,44,9,47,12,50,15,53,18,56,21,59,24,62,27,65,30,68,33,71,36,1,39,4,42,7,45,10,48,13,51,16,54,19,57,22,60,25,63,28,66,31,69,34,72,37,2,40,5,43,8,46,11,49,14,52,17,55,20,58,23,61,26,64,29,67,32,70,35,0,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,45,12,51,18,57,24,63,30,69,36,3,42,9,48,15,54,21,60,27,66,33,0,39,6,45,12,51,18,57,24,63,30,69,36,3,42,9,48,15,54,21,60,27,66,33,0,39,6,45,12,51,18,57,24,63,30,69,36,3,42,9,48,15,54,21,60,27,66,33,0,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9,49,18,58,27,67,36,5,45,14,54,23,63,32,1,41,10,50,19,59,28,68,37,6,46,15,55,24,64,33,2,42,11,51,20,60,29,69,38,7,47,16,56,25,65,34,3,43,12,52,21,61,30,70,39,8,48,17,57,26,66,35,4,44,13,53,22,62,31,0,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,53,24,65,36,7,48,19,60,31,2,43,14,55,26,67,38,9,50,21,62,33,4,45,16,57,28,69,40,11,52,23,64,35,6,47,18,59,30,1,42,13,54,25,66,37,8,49,20,61,32,3,44,15,56,27,68,39,10,51,22,63,34,5,46,17,58,29,0,41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,57,30,3,45,18,60,33,6,48,21,63,36,9,51,24,66,39,12,54,27,0,42,15,57,30,3,45,18,60,33,6,48,21,63,36,9,51,24,66,39,12,54,27,0,42,15,57,30,3,45,18,60,33,6,48,21,63,36,9,51,24,66,39,12,54,27,0,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,18,61,36,11,54,29,4,47,22,65,40,15,58,33,8,51,26,1,44,19,62,37,12,55,30,5,48,23,66,41,16,59,34,9,52,27,2,45,20,63,38,13,56,31,6,49,24,67,42,17,60,35,10,53,28,3,46,21,64,39,14,57,32,7,50,25,0,43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,21,65,42,19,63,40,17,61,38,15,59,36,13,57,34,11,55,32,9,53,30,7,51,28,5,49,26,3,47,24,1,45,22,66,43,20,64,41,18,62,39,16,60,37,14,58,35,12,56,33,10,54,31,8,52,29,6,50,27,4,48,25,2,46,23,0,44,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,24,3,48,27,6,51,30,9,54,33,12,57,36,15,60,39,18,63,42,21,0,45,24,3,48,27,6,51,30,9,54,33,12,57,36,15,60,39,18,63,42,21,0,45,24,3,48,27,6,51,30,9,54,33,12,57,36,15,60,39,18,63,42,21,0,45,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,27,8,54,35,16,62,43,24,5,51,32,13,59,40,21,2,48,29,10,56,37,18,64,45,26,7,53,34,15,61,42,23,4,50,31,12,58,39,20,1,47,28,9,55,36,17,63,44,25,6,52,33,14,60,41,22,3,49,30,11,57,38,19,0,46,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,30,13,60,43,26,9,56,39,22,5,52,35,18,1,48,31,14,61,44,27,10,57,40,23,6,53,36,19,2,49,32,15,62,45,28,11,58,41,24,7,54,37,20,3,50,33,16,63,46,29,12,59,42,25,8,55,38,21,4,51,34,17,0,47,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,33,18,3,51,36,21,6,54,39,24,9,57,42,27,12,60,45,30,15,0,48,33,18,3,51,36,21,6,54,39,24,9,57,42,27,12,60,45,30,15,0,48,33,18,3,51,36,21,6,54,39,24,9,57,42,27,12,60,45,30,15,0,48,33,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,36,23,10,59,46,33,20,7,56,43,30,17,4,53,40,27,14,1,50,37,24,11,60,47,34,21,8,57,44,31,18,5,54,41,28,15,2,51,38,25,12,61,48,35,22,9,58,45,32,19,6,55,42,29,16,3,52,39,26,13,0,49,36,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,39,28,17,6,56,45,34,23,12,1,51,40,29,18,7,57,46,35,24,13,2,52,41,30,19,8,58,47,36,25,14,3,53,42,31,20,9,59,48,37,26,15,4,54,43,32,21,10,60,49,38,27,16,5,55,44,33,22,11,0,50,39,28,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,42,33,24,15,6,57,48,39,30,21,12,3,54,45,36,27,18,9,0,51,42,33,24,15,6,57,48,39,30,21,12,3,54,45,36,27,18,9,0,51,42,33,24,15,6,57,48,39,30,21,12,3,54,45,36,27,18,9,0,51,42,33,24,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,45,38,31,24,17,10,3,55,48,41,34,27,20,13,6,58,51,44,37,30,23,16,9,2,54,47,40,33,26,19,12,5,57,50,43,36,29,22,15,8,1,53,46,39,32,25,18,11,4,56,49,42,35,28,21,14,7,0,52,45,38,31,24,17,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,48,43,38,33,28,23,18,13,8,3,56,51,46,41,36,31,26,21,16,11,6,1,54,49,44,39,34,29,24,19,14,9,4,57,52,47,42,37,32,27,22,17,12,7,2,55,50,45,40,35,30,25,20,15,10,5,0,53,48,43,38,33,28,23,18,13,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
