n, x, y, z, ay, az, g, h
17, 7, 3.0, 4.0, 2, 0, 1.0, 2.5
40, 17, 6.0, 11.0, 7, 16, 4.5, 4.0
51, 23, 5.0, 18.0, 2, 1, 0.5, 11.0
70, 31, 8.0, 23.0, 7, 24, 8.5, 7.0
99, 41, 17.0, 24.0, 14, 27, 6.5, 14.0
101, 47, 7.0, 40.0, 5, 13, 4.0, 19.5
108, 49, 10.0, 39.0, 40, 38, 1.0, 23.5
154, 71, 12.0, 59.0, 58, 13, 22.5, 13.0
167, 79, 9.0, 70.0, 56, 70, 7.0, 32.5
178, 73, 32.0, 41.0, 17, 69, 26.0, 10.5
203, 89, 25.0, 64.0, 29, 24, 2.5, 42.0
208, 97, 14.0, 83.0, 1, 37, 18.0, 30.5
244, 103, 38.0, 65.0, 3, 16, 6.5, 45.0
249, 119, 11.0, 108.0, 108, 82, 13.0, 46.5
270, 127, 16.0, 111.0, 52, 125, 36.5, 27.0
277, 113, 51.0, 62.0, 106, 28, 39.0, 17.5
305, 137, 31.0, 106.0, 126, 65, 30.5, 38.0
340, 161, 18.0, 143.0, 34, 127, 46.5, 34.0
347, 167, 13.0, 154.0, 51, 15, 18.0, 65.5
348, 151, 46.0, 105.0, 65, 86, 10.5, 65.0
418, 199, 20.0, 179.0, 161, 157, 2.0, 97.5
439, 191, 57.0, 134.0, 63, 128, 32.5, 63.0
461, 223, 15.0, 208.0, 23, 20, 1.5, 110.0
551, 233, 85.0, 148.0, 31, 14, 8.5, 108.0
574, 257, 60.0, 197.0, 57, 45, 6.0, 122.5
591, 287, 17.0, 270.0, 30, 84, 27.0, 116.5
623, 289, 45.0, 244.0, 91, 82, 4.5, 140.0
638, 271, 96.0, 175.0, 118, 153, 17.5, 118.0
794, 343, 108.0, 235.0, 10, 57, 23.5, 148.0
994, 457, 80.0, 377.0, 99, 83, 8.0, 220.5
1124, 497, 130.0, 367.0, 112, 86, 13.0, 235.5
1194, 553, 88.0, 465.0, 8, 101, 46.5, 230.0
1271, 623, 25.0, 598.0, 64, 59, 2.5, 309.0
1651, 713, 225.0, 488.0, 93, 48, 22.5, 334.0
