OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,D,E,F,G,H,I,J,K,L,D,OQ,B,C,D,E,F,G,H,I,J,I,J,K,L,M,N,Q,OQ,B,C
34,5,39,10,44,15,49,20,54,25,59,30,1,35,6,40,11,45,16,50,21,55,26,60,31,2,36,7,41,12,46,17,51,22,56,27,61,32,3,37,8,42,13,47,18,52,23,57,28,62,33,4,38,9,43,14,48,19,53,24,58,29,0,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,44,18,53,27,1,36,10,45,19,54,28,2,37,11,46,20,55,29,3,38,12,47,21,56,30,4,39,13,48,22,57,31,5,40,14,49,23,58,32,6,41,15,50,24,59,33,7,42,16,51,25,60,34,8,43,17,52,26,0,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,13,49,26,3,39,16,52,29,6,42,19,55,32,9,45,22,58,35,12,48,25,2,38,15,51,28,5,41,18,54,31,8,44,21,57,34,11,47,24,1,37,14,50,27,4,40,17,53,30,7,43,20,56,33,10,46,23,0,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17,54,34,14,51,31,11,48,28,8,45,25,5,42,22,2,39,19,56,36,16,53,33,13,50,30,10,47,27,7,44,24,4,41,21,1,38,18,55,35,15,52,32,12,49,29,9,46,26,6,43,23,3,40,20,0,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,21,4,42,25,8,46,29,12,50,33,16,54,37,20,3,41,24,7,45,28,11,49,32,15,53,36,19,2,40,23,6,44,27,10,48,31,14,52,35,18,1,39,22,5,43,26,9,47,30,13,51,34,17,0,38,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25,11,50,36,22,8,47,33,19,5,44,30,16,2,41,27,13,52,38,24,10,49,35,21,7,46,32,18,4,43,29,15,1,40,26,12,51,37,23,9,48,34,20,6,45,31,17,3,42,28,14,0,39,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,29,18,7,47,36,25,14,3,43,32,21,10,50,39,28,17,6,46,35,24,13,2,42,31,20,9,49,38,27,16,5,45,34,23,12,1,41,30,19,8,48,37,26,15,4,44,33,22,11,0,40,29,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,33,25,17,9,1,42,34,26,18,10,2,43,35,27,19,11,3,44,36,28,20,12,4,45,37,29,21,13,5,46,38,30,22,14,6,47,39,31,23,15,7,48,40,32,24,16,8,0,41,33,25,17,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,37,32,27,22,17,12,7,2,44,39,34,29,24,19,14,9,4,46,41,36,31,26,21,16,11,6,1,43,38,33,28,23,18,13,8,3,45,40,35,30,25,20,15,10,5,0,42,37,32,27,22,17,12,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,41,39,37,35,33,31,29,27,25,23,21,19,17,15,13,11,9,7,5,3,1,44,42,40,38,36,34,32,30,28,26,24,22,20,18,16,14,12,10,8,6,4,2,0,43,41,39,37,35,33,31,29,27,25,23,21,19,17,15,13,11,9,7,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,45,2,46,3,47,4,48,5,49,6,50,7,51,8,52,9,53,10,54,11,55,12,56,13,57,14,58,15,59,16,60,17,61,18,62,19,63,20,64,21,65,22,66,23,67,24,68,25,69,26,70,27,71,28,72,29,73,30,74,31,75,32,76,33,77,34,78,35,79,36,80,37,81,38,82,39,83,40,84,41,85,42,86,43,0,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,49,8,53,12,57,16,61,20,65,24,69,28,73,32,77,36,81,40,85,44,3,48,7,52,11,56,15,60,19,64,23,68,27,72,31,76,35,80,39,84,43,2,47,6,51,10,55,14,59,18,63,22,67,26,71,30,75,34,79,38,83,42,1,46,5,50,9,54,13,58,17,62,21,66,25,70,29,74,33,78,37,82,41,0,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,53,14,60,21,67,28,74,35,81,42,3,49,10,56,17,63,24,70,31,77,38,84,45,6,52,13,59,20,66,27,73,34,80,41,2,48,9,55,16,62,23,69,30,76,37,83,44,5,51,12,58,19,65,26,72,33,79,40,1,47,8,54,15,61,22,68,29,75,36,82,43,4,50,11,57,18,64,25,71,32,78,39,0,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
